Event RA Dec t0 tE Ibl I0 Field Layer
MOA-2010-BLG-380 268.848583 -28.887389 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T062334.000000Z_01_01_01.00.fits.gz 53
MOA-2010-BLG-384 269.077417 -28.701194 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T080014.000000Z_01_01_01.00.fits.gz 106
MOA-2010-BLG-386 269.270042 -28.939417 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T080834.000000Z_01_01_01.00.fits.gz 125
MOA-2010-BLG-395 268.71275 -28.597306 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T061514.000000Z_01_01_01.00.fits.gz 15
MOA-2010-BLG-396 268.681958 -28.614222 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T061514.000000Z_01_01_01.00.fits.gz 15
MOA-2010-BLG-398 268.823708 -29.833167 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T015904.000000Z_01_01_01.00.fits.gz 6
MOA-2010-BLG-409 268.496625 -29.827528 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 87
MOA-2010-BLG-417 269.417375 -29.270972 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T054759.000000Z_01_01_01.00.fits.gz 85
MOA-2010-BLG-418 268.687958 -28.595806 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T061514.000000Z_01_01_01.00.fits.gz 15
MOA-2010-BLG-422 269.292167 -29.842389 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T034404.000000Z_01_01_01.00.fits.gz 74
MOA-2010-BLG-429 268.422417 -30.043889 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T005828.000000Z_01_01_01.00.fits.gz 104
MOA-2010-BLG-430 268.357792 -29.7065 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 79
MOA-2010-BLG-432 268.332417 -29.8175 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 81
MOA-2010-BLG-440 268.84875 -29.908333 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T013404.000000Z_01_01_01.00.fits.gz 9
MOA-2010-BLG-465 268.628583 -29.900861 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T014224.000000Z_01_01_01.00.fits.gz 1
MOA-2010-BLG-469 269.227417 -28.329944 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T082514.000000Z_01_01_01.00.fits.gz 77
MOA-2010-BLG-471 267.963417 -29.684111 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210105.000000Z_01_01_01.00.fits.gz 62
MOA-2010-BLG-491 268.313625 -29.139333 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 96
MOA-2010-BLG-492 268.141625 -29.732167 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T233828.000000Z_01_01_01.00.fits.gz 9
MOA-2010-BLG-497 268.845 -29.741306 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T041939.000000Z_01_01_01.00.fits.gz 65
MOA-2010-BLG-504 268.5895 -28.938083 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T202522.000000Z_01_01_01.00.fits.gz 134
MOA-2010-BLG-512 268.459875 -30.271083 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 128
MOA-2010-BLG-513 269.269083 -30.486472 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T033544.000000Z_01_01_01.00.fits.gz 140
MOA-2010-BLG-514 268.883917 -28.744861 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T063154.000000Z_01_01_01.00.fits.gz 42
MOA-2010-BLG-517 269.269875 -30.486417 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T033544.000000Z_01_01_01.00.fits.gz 140
MOA-2010-BLG-520 269.193708 -29.299667 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T060439.000000Z_01_01_01.00.fits.gz 103
MOA-2010-BLG-523 269.287 -29.749528 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T054759.000000Z_01_01_01.00.fits.gz 140
MOA-2010-BLG-524 268.464333 -30.292028 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 128
MOA-2010-BLG-529 268.1315 -30.425083 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T232148.000000Z_01_01_01.00.fits.gz 69
MOA-2010-BLG-531 268.976833 -30.315889 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T013404.000000Z_01_01_01.00.fits.gz 46
MOA-2010-BLG-532 268.708375 -29.398861 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T041939.000000Z_01_01_01.00.fits.gz 28
MOA-2010-BLG-533 268.960917 -29.661028 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T040259.000000Z_01_01_01.00.fits.gz 57
MOA-2010-BLG-540 268.885458 -30.381639 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T015044.000000Z_01_01_01.00.fits.gz 54
MOA-2010-BLG-544 268.455542 -29.405028 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 116
MOA-2010-BLG-550 268.64475 -28.463667 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T061514.000000Z_01_01_01.00.fits.gz 4
MOA-2010-BLG-554 269.175708 -29.021833 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T081654.000000Z_01_01_01.00.fits.gz 141
MOA-2010-BLG-559 268.601792 -29.436833 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 109
MOA-2010-BLG-567 268.884083 -29.78475 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T040259.000000Z_01_01_01.00.fits.gz 66
MOA-2010-BLG-570 268.612 -30.494833 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T005828.000000Z_01_01_01.00.fits.gz 133
MOA-2010-BLG-572 268.119958 -28.855833 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T185702.000000Z_01_01_01.00.fits.gz 66
MOA-2010-BLG-576 268.795833 -29.921389 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T013404.000000Z_01_01_01.00.fits.gz 6
MOA-2010-BLG-581 267.904958 -30.418944 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T233008.000000Z_01_01_01.00.fits.gz 61
MOA-2010-BLG-585 268.360417 -29.326111 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T230245.000000Z_01_01_01.00.fits.gz 120
MOA-2010-BLG-597 268.371333 -30.447194 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 141
MOA-2010-BLG-603 268.569042 -29.617583 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 135
MOA-2011-BLG-023 268.848375 -29.739222 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T041939.000000Z_01_01_01.00.fits.gz 65
MOA-2011-BLG-080 268.2665 -29.729417 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 84
MOA-2011-BLG-089 268.412583 -28.616083 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T201702.000000Z_01_01_01.00.fits.gz 102
MOA-2011-BLG-092 268.4015 -29.520417 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T230245.000000Z_01_01_01.00.fits.gz 129
MOA-2011-BLG-136 268.729542 -28.601667 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T070654.000000Z_01_01_01.00.fits.gz 26
MOA-2011-BLG-169 268.222542 -29.841694 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T002328.000000Z_01_01_01.00.fits.gz 83
MOA-2011-BLG-174 269.335917 -30.379861 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T032724.000000Z_01_01_01.00.fits.gz 123
MOA-2011-BLG-205 268.655625 -29.837139 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T015904.000000Z_01_01_01.00.fits.gz 1
MOA-2011-BLG-263 267.934958 -30.024611 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T231328.000000Z_01_01_01.00.fits.gz 20
MOA-2011-BLG-264 269.385667 -28.908889 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T080834.000000Z_01_01_01.00.fits.gz 122
MOA-2011-BLG-271 268.522167 -29.08425 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 87
MOA-2011-BLG-274 268.676417 -28.916444 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T062334.000000Z_01_01_01.00.fits.gz 49
MOA-2011-BLG-278 268.547167 -30.089306 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T005828.000000Z_01_01_01.00.fits.gz 97
MOA-2011-BLG-288 268.628917 -29.354111 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 112
MOA-2011-BLG-291 268.867875 -29.170639 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T035439.000000Z_01_01_01.00.fits.gz 9
MOA-2011-BLG-292 269.444292 -29.833444 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T053939.000000Z_01_01_01.00.fits.gz 133
MOA-2011-BLG-293 268.913958 -28.476833 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T061514.000000Z_01_01_01.00.fits.gz 12
MOA-2011-BLG-309 268.384958 -29.53 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T230245.000000Z_01_01_01.00.fits.gz 129
MOA-2011-BLG-313 268.370917 -28.906556 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T202522.000000Z_01_01_01.00.fits.gz 144
MOA-2011-BLG-314 268.725083 -30.638861 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T013404.000000Z_01_01_01.00.fits.gz 63
MOA-2011-BLG-343 268.118958 -29.349444 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T211745.000000Z_01_01_01.00.fits.gz 42
MOA-2011-BLG-369 268.735042 -29.749722 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T035439.000000Z_01_01_01.00.fits.gz 51
MOA-2011-BLG-384 268.626417 -28.6545 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T201702.000000Z_01_01_01.00.fits.gz 112
MOA-2011-BLG-458 268.795583 -29.389778 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T041939.000000Z_01_01_01.00.fits.gz 32
MOA-2011-BLG-473 268.086958 -28.887889 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T184842.000000Z_01_01_01.00.fits.gz 66
MOA-2012-BLG-043 268.246333 -30.265222 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 131
MOA-2012-BLG-064 268.522 -28.872528 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T201702.000000Z_01_01_01.00.fits.gz 122
MOA-2012-BLG-091 267.838 -29.522056 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T160051.000000Z_01_01_01.00.fits.gz 133
MOA-2012-BLG-122 268.618083 -28.196222 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T204202.000000Z_01_01_01.00.fits.gz 76
MOA-2012-BLG-171 268.80725 -28.439528 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T064014.000000Z_01_01_01.00.fits.gz 17
MOA-2012-BLG-197 267.960333 -28.736 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T185702.000000Z_01_01_01.00.fits.gz 50
MOA-2012-BLG-198 267.918333 -28.882556 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T185702.000000Z_01_01_01.00.fits.gz 61
MOA-2012-BLG-222 268.27325 -29.0145 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 83
MOA-2012-BLG-243 268.884333 -28.9695 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T062334.000000Z_01_01_01.00.fits.gz 55
MOA-2012-BLG-249 269.113958 -30.589139 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T032724.000000Z_01_01_01.00.fits.gz 142
MOA-2012-BLG-266 268.169 -29.204139 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210105.000000Z_01_01_01.00.fits.gz 23
MOA-2012-BLG-268 268.026708 -29.026972 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210105.000000Z_01_01_01.00.fits.gz 6
MOA-2012-BLG-272 269.386458 -29.114944 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T060439.000000Z_01_01_01.00.fits.gz 73
MOA-2012-BLG-305 269.120458 -29.557111 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T054759.000000Z_01_01_01.00.fits.gz 117
MOA-2012-BLG-319 268.198208 -29.092 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T205245.000000Z_01_01_01.00.fits.gz 82
MOA-2012-BLG-329 268.923458 -30.097028 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T013404.000000Z_01_01_01.00.fits.gz 24
MOA-2012-BLG-331 268.606708 -29.862611 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 88
MOA-2012-BLG-344 268.057542 -29.683111 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210105.000000Z_01_01_01.00.fits.gz 65
MOA-2012-BLG-356 268.949875 -29.533861 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T041119.000000Z_01_01_01.00.fits.gz 48
MOA-2012-BLG-403 269.108083 -29.901333 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T031904.000000Z_01_01_01.00.fits.gz 84
MOA-2012-BLG-406 268.303167 -30.318389 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T005828.000000Z_01_01_01.00.fits.gz 132
MOA-2012-BLG-408 268.640042 -29.44075 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T230245.000000Z_01_01_01.00.fits.gz 124
MOA-2012-BLG-459 268.626167 -28.199028 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T204202.000000Z_01_01_01.00.fits.gz 76
MOA-2012-BLG-474 269.103833 -30.213111 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T034404.000000Z_01_01_01.00.fits.gz 119
MOA-2012-BLG-500 268.606208 -29.881194 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 88
MOA-2012-BLG-506 268.946292 -29.312472 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T040259.000000Z_01_01_01.00.fits.gz 24
MOA-2012-BLG-521 268.968542 -29.519056 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T040259.000000Z_01_01_01.00.fits.gz 45
MOA-2012-BLG-542 269.430875 -28.788889 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T082514.000000Z_01_01_01.00.fits.gz 124
MOA-2012-BLG-556 268.342083 -29.357056 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 120
MOA-2012-BLG-565 268.645083 -29.478917 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 124
MOA-2012-BLG-579 268.047208 -29.726528 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T233828.000000Z_01_01_01.00.fits.gz 6
MOA-2012-BLG-589 268.441792 -28.499667 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T202522.000000Z_01_01_01.00.fits.gz 104
MOA-2012-BLG-591 268.856542 -30.019222 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T014224.000000Z_01_01_01.00.fits.gz 18
MOA-2012-BLG-595 267.961 -29.540639 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T211745.000000Z_01_01_01.00.fits.gz 51
MOA-2012-BLG-639 268.427708 -29.364028 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 115
MOA-2012-BLG-640 268.559875 -28.9135 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T203342.000000Z_01_01_01.00.fits.gz 134
MOA-2012-BLG-654 268.4795 -29.265 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 104
MOA-2013-BLG-008 268.102125 -28.563361 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T183202.000000Z_01_01_01.00.fits.gz 33
MOA-2013-BLG-012 268.233875 -29.358389 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T211745.000000Z_01_01_01.00.fits.gz 46
MOA-2013-BLG-025 268.048417 -29.340556 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210105.000000Z_01_01_01.00.fits.gz 31
MOA-2013-BLG-046 268.625042 -28.392944 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T062334.000000Z_01_01_01.00.fits.gz 1
MOA-2013-BLG-058 268.541667 -29.109056 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T230245.000000Z_01_01_01.00.fits.gz 86
MOA-2013-BLG-085 269.017833 -29.545194 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T035439.000000Z_01_01_01.00.fits.gz 46
MOA-2013-BLG-101 268.604792 -29.83875 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 88
MOA-2013-BLG-106 268.069 -29.563889 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210925.000000Z_01_01_01.00.fits.gz 55
MOA-2013-BLG-112 268.944 -29.020556 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T062334.000000Z_01_01_01.00.fits.gz 69
MOA-2013-BLG-128 268.819125 -29.614972 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T041939.000000Z_01_01_01.00.fits.gz 53
MOA-2013-BLG-151 267.896167 -29.396556 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210925.000000Z_01_01_01.00.fits.gz 37
MOA-2013-BLG-193 268.30875 -29.169222 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T223745.000000Z_01_01_01.00.fits.gz 96
MOA-2013-BLG-205 268.25025 -29.370694 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 119
MOA-2013-BLG-226 268.770208 -28.888361 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T064014.000000Z_01_01_01.00.fits.gz 51
MOA-2013-BLG-244 269.119208 -29.857139 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T034404.000000Z_01_01_01.00.fits.gz 81
MOA-2013-BLG-254 267.764625 -29.541028 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T160051.000000Z_01_01_01.00.fits.gz 134
MOA-2013-BLG-257 268.752458 -29.571 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T035439.000000Z_01_01_01.00.fits.gz 38
MOA-2013-BLG-267 268.441542 -29.104639 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 92
MOA-2013-BLG-319 268.452125 -29.844 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 92
MOA-2013-BLG-327 268.285375 -29.583444 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T223745.000000Z_01_01_01.00.fits.gz 131
MOA-2013-BLG-328 267.8695 -29.314083 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210925.000000Z_01_01_01.00.fits.gz 28
MOA-2013-BLG-329 269.45425 -28.742222 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T082514.000000Z_01_01_01.00.fits.gz 109
MOA-2013-BLG-330 268.906042 -29.68125 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T041119.000000Z_01_01_01.00.fits.gz 55
MOA-2013-BLG-336 269.145958 -29.321139 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T053939.000000Z_01_01_01.00.fits.gz 90
MOA-2013-BLG-362 268.053708 -29.435278 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210925.000000Z_01_01_01.00.fits.gz 43
MOA-2013-BLG-417 268.013208 -28.731222 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T185702.000000Z_01_01_01.00.fits.gz 53
MOA-2013-BLG-430 268.891167 -29.477194 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T035439.000000Z_01_01_01.00.fits.gz 36
MOA-2013-BLG-442 268.606083 -29.873333 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 88
MOA-2013-BLG-451 268.764917 -29.719528 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T035439.000000Z_01_01_01.00.fits.gz 50
MOA-2013-BLG-454 268.898167 -28.966889 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T064014.000000Z_01_01_01.00.fits.gz 66
MOA-2013-BLG-455 269.29975 -28.499278 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T080014.000000Z_01_01_01.00.fits.gz 87
MOA-2013-BLG-501 269.2955 -29.806944 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T054759.000000Z_01_01_01.00.fits.gz 137
MOA-2013-BLG-550 268.219417 -28.604611 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T193202.000000Z_01_01_01.00.fits.gz 46
MOA-2013-BLG-575 269.153167 -28.855361 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T081654.000000Z_01_01_01.00.fits.gz 132
MOA-2013-BLG-622 268.930333 -28.917806 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T061514.000000Z_01_01_01.00.fits.gz 57
MOA-2013-BLG-630 268.868833 -29.469917 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T035439.000000Z_01_01_01.00.fits.gz 31
MOA-2013-BLG-631 268.792375 -30.060167 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T013404.000000Z_01_01_01.00.fits.gz 18
MOA-2013-BLG-649 267.965167 -29.642444 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T205245.000000Z_01_01_01.00.fits.gz 51
MOA-2013-BLG-650 267.817458 -30.1425 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T231328.000000Z_01_01_01.00.fits.gz 28
MOA-2014-BLG-010 269.2295 -28.54025 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T082514.000000Z_01_01_01.00.fits.gz 103
MOA-2014-BLG-038 268.601125 -28.57225 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T201702.000000Z_01_01_01.00.fits.gz 97
MOA-2014-BLG-059 268.204167 -29.708194 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T233828.000000Z_01_01_01.00.fits.gz 10
MOA-2014-BLG-081 267.824583 -29.245528 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T155231.000000Z_01_01_01.00.fits.gz 112
MOA-2014-BLG-094 269.258083 -29.533583 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T053939.000000Z_01_01_01.00.fits.gz 116
MOA-2014-BLG-095 268.85 -29.91825 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T013404.000000Z_01_01_01.00.fits.gz 9
MOA-2014-BLG-096 268.756417 -29.648472 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T035439.000000Z_01_01_01.00.fits.gz 39
MOA-2014-BLG-103 269.174375 -29.546972 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T053939.000000Z_01_01_01.00.fits.gz 115
MOA-2014-BLG-121 269.257542 -29.533556 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T053939.000000Z_01_01_01.00.fits.gz 116
MOA-2014-BLG-128 269.458167 -29.551167 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T060439.000000Z_01_01_01.00.fits.gz 124
MOA-2014-BLG-132 267.922708 -29.89375 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T233008.000000Z_01_01_01.00.fits.gz 14
MOA-2014-BLG-136 268.910333 -29.578722 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T035439.000000Z_01_01_01.00.fits.gz 45
MOA-2014-BLG-138 268.471792 -28.94125 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T202522.000000Z_01_01_01.00.fits.gz 138
MOA-2014-BLG-176 268.358292 -29.510167 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 132
MOA-2014-BLG-182 269.437583 -28.897361 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T080014.000000Z_01_01_01.00.fits.gz 124
MOA-2014-BLG-190 269.454875 -28.804028 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T082514.000000Z_01_01_01.00.fits.gz 124
MOA-2014-BLG-191 268.417917 -28.254444 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T203342.000000Z_01_01_01.00.fits.gz 77
MOA-2014-BLG-195 269.22925 -29.531917 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T053939.000000Z_01_01_01.00.fits.gz 116
MOA-2014-BLG-201 268.073292 -28.984417 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210925.000000Z_01_01_01.00.fits.gz 9
MOA-2014-BLG-204 269.012542 -29.442944 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T045439.000000Z_01_01_01.00.fits.gz 46
MOA-2014-BLG-208 268.922083 -29.51675 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T041939.000000Z_01_01_01.00.fits.gz 43
MOA-2014-BLG-209 268.56675 -30.026639 NULL NULL NULL NULL EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 97
