Event RA Dec t0 tE Ibl I0 Field Layer
OGLE-BLG500.03.81555 268.211625 -28.952222222222225 2455496.586 125.731 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T211745.000000Z_01_01_01.00.fits.gz 10
OGLE-BLG500.03.87016 268.18941666666666 -28.96569444444444 2456376.352 46.607 19.497227 20.544914 EUC_LE1_VIS-67070-1-C_20250323T184022.000000Z_01_01_01.00.fits.gz 72
OGLE-BLG500.04.114801 267.99475 -28.945138888888888 2457274.776 22.331 18.080583 18.199813 EUC_LE1_VIS-67070-1-C_20250323T184842.000000Z_01_01_01.00.fits.gz 63
OGLE-BLG500.04.120657 267.9579583333333 -28.96680555555556 2456161.162 45.387 18.003566 18.503493 EUC_LE1_VIS-67070-1-C_20250323T211745.000000Z_01_01_01.00.fits.gz 5
OGLE-BLG500.04.139258 267.9392916666667 -28.78741666666667 2456891.175 8.267 19.882803 20.270058 EUC_LE1_VIS-67070-1-C_20250323T184022.000000Z_01_01_01.00.fits.gz 50
OGLE-BLG500.04.26313 268.05491666666666 -28.95330555555556 2455774.082 56.296 19.411158 19.933687 EUC_LE1_VIS-67070-1-C_20250323T211745.000000Z_01_01_01.00.fits.gz 6
OGLE-BLG500.04.31327 268.07416666666666 -28.96069444444444 2455647.944 6.72 19.416409 19.758102 EUC_LE1_VIS-67070-1-C_20250323T211745.000000Z_01_01_01.00.fits.gz 6
OGLE-BLG500.04.4762 268.048 -28.81052777777778 2457266.648 25.696 16.859121 17.762898 EUC_LE1_VIS-67070-1-C_20250323T184842.000000Z_01_01_01.00.fits.gz 56
OGLE-BLG500.04.64310 268.01554166666665 -28.88397222222222 2455771.689 27.626 19.386268 19.855656 EUC_LE1_VIS-67070-1-C_20250323T184842.000000Z_01_01_01.00.fits.gz 65
OGLE-BLG500.04.93584 267.9939583333333 -28.781111111111112 2456179.223 9.236 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T183202.000000Z_01_01_01.00.fits.gz 44
OGLE-BLG500.05.19150 267.88254166666667 -28.92380555555556 2456700.035 7.69 20.26296 20.83583 EUC_LE1_VIS-67070-1-C_20250323T184022.000000Z_01_01_01.00.fits.gz 61
OGLE-BLG500.05.33444 267.8251666666667 -28.788972222222224 2456064.001 10.758 18.24987 21.106539 EUC_LE1_VIS-67070-1-C_20250323T180446.000000Z_01_01_01.00.fits.gz 136
OGLE-BLG500.05.4882 267.888375 -28.81725 2456882.776 10.117 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T184842.000000Z_01_01_01.00.fits.gz 52
OGLE-BLG500.05.702 267.878 -28.78075 2457345.356 71.874 18.419699 21.261392 EUC_LE1_VIS-67070-1-C_20250323T182126.000000Z_01_01_01.00.fits.gz 133
OGLE-BLG501.01.107267 268.5102083333333 -29.657444444444447 2456191.658 13.328 17.621949 17.882012 EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 140
OGLE-BLG501.01.10936 268.5946666666667 -29.61275 2455964.687 42.284 17.765275 17.910255 EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 135
OGLE-BLG501.01.115439 268.5144583333333 -29.68875 2457177.565 27.755 18.866867 19.004428 EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 75
OGLE-BLG501.01.115879 268.488 -29.697 2455713.605 17.903 NULL NULL EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 75
OGLE-BLG501.01.12017 268.58366666666666 -29.621694444444444 2456077.059 21.707 18.731559 18.855647 EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 135
OGLE-BLG501.01.130719 268.4927916666667 -29.77127777777778 2455610.604 50.467 18.597788 18.789677 EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 75
